,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,sentiment_score
13,374792,2011-07-07,within an hour,100%,91%,f,Kilmainham,5,5,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.33744,-6.32363,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,"[""TV with standard cable"", ""Essentials"", ""Fire extinguisher"", ""Dryer"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cable TV"", ""Hot water"", ""Free parking on premises"", ""Luggage dropoff allowed""]",$212.00,3,365,3,3,365,365,3.0,365.0,t,0,7,21,90,2022-09-12,35,7,1,2012-07-02,2022-08-15,4.48,4.5,4.59,4.85,4.79,4.41,4.5,t,5,5,0,0,0.33144764444787345
16,419987,2012-01-02,within an hour,100%,99%,f,Stoneybatter/Arbour Hill,8,8,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.35682,-6.29132,Entire rental unit,Entire home/apt,6,1 bath,1.0,3.0,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$240.00,2,365,2,5,365,365,3.0,365.0,t,9,19,33,255,2022-09-12,145,41,1,2012-10-24,2022-08-20,4.8,4.8,4.85,4.92,4.94,4.5,4.61,t,8,8,0,0,0.42681253215257586
17,424596,2012-04-10,within a few hours,96%,95%,t,Mountjoy,4,5,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.355545,-6.258094,Entire loft,Entire home/apt,3,1 bath,1.0,1.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Crib"", ""Paid dryer \u2013 In building"", ""Central heating"", ""HDTV with standard cable, DVD player"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Baking sheet"", ""Hot water"", ""Clothing storage: dresser and wardrobe"", ""Shower gel"", ""Paid street parking off premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Sound system"", ""Cable TV"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Portable fans""]",$155.00,2,1124,1,2,1124,1124,2.0,1124.0,t,4,9,33,114,2022-09-12,519,72,4,2012-06-17,2022-08-28,4.84,4.92,4.91,4.89,4.88,4.62,4.75,f,4,4,0,0,0.4090852982718977
18,426326,2011-07-01,within an hour,100%,95%,f,Beaumont,3,4,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.39027,-6.23547,Private room in home,Private room,3,2 shared baths,1.0,2.0,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Paid washer"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Patio or balcony"", ""TV with standard cable"", ""Ethernet connection"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Pocket wifi"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove""]",$60.00,3,21,1,3,21,21,3.0,21.0,t,6,16,25,28,2022-09-12,254,15,5,2012-06-24,2022-09-11,4.61,4.78,4.49,4.83,4.84,4.56,4.61,f,3,0,3,0,0.4087562468725527
19,427077,2012-04-10,within a few hours,96%,95%,t,Mountjoy,4,5,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.35572,-6.25803,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Paid parking garage off premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Shared patio or balcony"", ""Crib"", ""Paid dryer \u2013 In building"", ""Central heating"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Hot water"", ""Clothing storage: dresser and closet"", ""Shower gel"", ""42\"" HDTV with premium cable, DVD player"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Portable fans""]",$154.00,2,1124,1,2,1124,1124,2.0,1124.0,t,1,9,26,111,2022-09-12,498,57,4,2012-05-01,2022-08-23,4.84,4.88,4.91,4.86,4.85,4.6,4.69,f,4,4,0,0,0.39480724999957445
20,427495,2011-07-01,within an hour,100%,95%,f,Beaumont,3,4,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.39027,-6.23547,Private room in home,Private room,2,2 shared baths,3.0,1.0,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Breakfast"", ""Microwave"", ""Shared patio or balcony"", ""Central heating"", ""TV with standard cable"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Cleaning products"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Air conditioning"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Shared garden or backyard"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",$60.00,3,21,1,3,21,21,3.0,21.0,t,3,11,27,299,2022-09-12,176,13,8,2012-09-01,2022-09-10,4.59,4.72,4.51,4.85,4.89,4.52,4.63,f,3,0,3,0,0.3857311202814157
22,454183,2011-02-24,within an hour,100%,88%,t,Cabra,4,4,"['email', 'phone', 'work_email']",t,f,"Dublin, County Dublin, Ireland",Dublin City,53.35334,-6.29797,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,"[""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Bathtub"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",$132.00,3,1125,2,3,1125,1125,3.0,1125.0,t,1,1,1,1,2022-09-12,93,20,3,2017-06-21,2022-09-10,4.67,4.74,4.59,4.96,4.97,4.76,4.55,f,3,2,1,0,0.36838987467501744
24,497136,2011-05-20,within an hour,100%,67%,f,Sandymount,2,6,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.33596,-6.22059,Private room in home,Private room,2,2 shared baths,1.0,1.0,"[""Oven"", ""Fire extinguisher"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Breakfast"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Smoke alarm""]",$139.00,1,7,1,1,7,7,1.0,7.0,t,2,2,2,2,2022-09-12,113,0,0,2012-09-04,2019-07-26,4.62,4.74,4.44,4.8,4.78,4.55,4.5,f,2,0,2,0,0.3678257439640722
25,522667,2012-04-10,within a few hours,96%,95%,t,Mountjoy,4,5,"['email', 'phone']",t,t,"Dublin, County Dublin, Ireland",Dublin City,53.355545,-6.258094,Entire loft,Entire home/apt,3,1 bath,1.0,1.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Board games"", ""Paid parking garage off premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Crib"", ""Paid dryer \u2013 In building"", ""Central heating"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""First aid kit"", ""Clothing storage: wardrobe and dresser"", ""Cleaning products"", ""Hot water"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Sound system"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Portable fans""]",$153.00,2,1124,1,2,1124,1124,2.0,1124.0,t,4,14,36,123,2022-09-12,430,53,4,2012-06-25,2022-08-24,4.81,4.91,4.96,4.9,4.89,4.65,4.69,f,4,4,0,0,0.3961685645717008
33,654589,2012-08-13,within an hour,100%,97%,t,Temple Bar,2,3,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.34493,-6.26688,Entire condo,Entire home/apt,4,1 bath,2.0,3.0,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dryer"", ""Dining table"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Host greets you"", ""Window guards"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Cleaning products"", ""Hot water"", ""Clothing storage: dresser and closet"", ""Shower gel"", ""Hair dryer"", ""Single level home"", ""Dishwasher"", ""Freezer"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Body soap"", ""Conditioner"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Paid parking off premises"", ""Portable fans""]",$356.00,3,150,1,3,150,150,2.0,150.0,t,6,12,27,251,2022-09-11,538,50,3,2012-09-04,2022-08-30,4.78,4.81,4.84,4.9,4.94,4.94,4.63,f,2,2,0,0,0.41688907174770135
34,690119,2012-09-10,within an hour,100%,81%,f,Dundrum,1,4,"['email', 'phone', 'work_email']",t,t,"Dundrum, Dublin, Ireland",Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire cottage,Entire home/apt,4,2 baths,2.0,2.0,"[""Fire extinguisher"", ""Dryer"", ""Carbon monoxide alarm"", ""High chair"", ""Full kitchen"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Children\u2019s books and toys"", ""TV"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Pets allowed"", ""Free street parking"", ""Coffee maker"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades"", ""Bathroom essentials"", ""Bedroom comforts""]",$341.00,5,180,5,5,1125,1125,5.0,1125.0,t,2,2,2,250,2022-09-12,216,5,2,2013-06-17,2022-08-29,4.9,4.93,4.85,4.95,4.97,4.72,4.78,t,1,1,0,0,0.3907763522198003
36,726075,2012-10-04,within a day,100%,63%,t,Drumcondra,9,12,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.36973,-6.25788,Entire townhouse,Entire home/apt,5,3.5 baths,3.0,5.0,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""Patio or balcony"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Building staff"", ""Ethernet connection"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Barbecue utensils"", ""Baking sheet"", ""Hot water"", ""Free parking on premises"", ""Children\u2019s books and toys"", ""Paid street parking off premises"", ""Hair dryer"", ""Babysitter recommendations"", ""Iron"", ""Paid parking on premises \u2013 6 spaces"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Trash compactor"", ""Essentials"", ""Coffee maker"", ""Private entrance"", ""Bosch refrigerator"", ""BBQ grill"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Wifi"", ""Smoke alarm"", ""Portable fans"", ""Extra pillows and blankets""]",$125.00,7,180,7,7,180,180,7.0,180.0,t,0,0,0,0,2022-09-12,3,0,0,2015-08-30,2017-09-02,4.33,4.33,4.0,5.0,5.0,5.0,4.33,f,1,1,0,0,0.35393338143338143
39,742656,2012-10-16,within a few hours,94%,86%,f,Grafton Street/St. Stephens Green,2,2,"['email', 'phone']",t,t,"Dublin, Ireland",Dublin City,53.33387,-6.26429,Private room in rental unit,Private room,2,Shared half-bath,1.0,1.0,"[""Coffee maker"", ""Essentials"", ""Fire extinguisher"", ""Refrigerator"", ""Lock on bedroom door"", ""Wifi"", ""Hair dryer"", ""Long term stays allowed"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Host greets you"", ""Microwave"", ""Shampoo"", ""Hot water"", ""Paid parking off premises""]",$65.00,2,1001,2,2,1001,1001,2.0,1001.0,t,2,10,26,96,2022-09-12,368,40,4,2014-02-09,2022-08-24,4.58,4.68,4.43,4.85,4.9,4.77,4.55,f,2,0,2,0,0.40304677587457516
